timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
2024-12-18T00:00:00.000Z;2024-12-18T23:59:59.999Z;2024-12-18T00:19:00.000Z;2024-12-18T23:59:00.000Z;2781;106147.2952596834;106470.6063648963;100041.5427029048;100041.5427029048;93865656139.45;1982994456166.16;2024-12-18T23:59:59.999Z
2024-12-17T00:00:00.000Z;2024-12-17T23:59:59.999Z;2024-12-17T14:59:00.000Z;2024-12-17T22:47:00.000Z;2781;106030.6905824521;108268.4470804361;105291.7378675813;106140.5982384302;68589364867.85;2101344621529.72;2024-12-17T23:59:59.999Z
2024-12-16T00:00:00.000Z;2024-12-16T23:59:59.999Z;2024-12-16T18:31:00.000Z;2024-12-16T12:51:00.000Z;2781;104293.5764606967;107780.5795522059;103322.9828188519;106029.7205860963;91020417816.32;2099101774990.23;2024-12-16T23:59:59.999Z
2024-12-15T00:00:00.000Z;2024-12-15T23:59:59.999Z;2024-12-15T23:28:00.000Z;2024-12-15T00:42:00.000Z;2781;101373.5329606796;105047.5418842031;101227.0277929951;104298.6957979219;51145914137.43;2065144333081.26;2024-12-15T23:59:59.999Z
2024-12-14T00:00:00.000Z;2024-12-14T23:59:59.999Z;2024-12-14T01:29:00.000Z;2024-12-14T20:54:00.000Z;2781;101451.4399501803;102618.8845754313;100634.0575481614;101372.9660786534;40422968793.07;2006808502978.48;2024-12-14T23:59:59.999Z
2024-12-13T00:00:00.000Z;2024-12-13T23:59:59.999Z;2024-12-13T20:46:00.000Z;2024-12-13T01:54:00.000Z;2781;100046.6505381214;101888.8084089508;99233.2780486758;101459.2544012685;56894751583.19;2008423637064.33;2024-12-13T23:59:59.999Z
2024-12-12T00:00:00.000Z;2024-12-12T23:59:59.999Z;2024-12-12T16:17:00.000Z;2024-12-12T19:48:00.000Z;2781;101167.8070043369;102524.9102753456;99339.9499287061;100042.9979150116;72073983532.97;1980440555379.36;2024-12-12T23:59:59.999Z
2024-12-11T00:00:00.000Z;2024-12-11T23:59:59.999Z;2024-12-11T22:12:00.000Z;2024-12-11T02:00:00.000Z;2781;96656.0616181213;101913.3624657153;95747.2288650111;101173.0326451109;85391409935.84;2002682634623.17;2024-12-11T23:59:59.999Z
2024-12-10T00:00:00.000Z;2024-12-10T23:59:59.999Z;2024-12-10T14:49:00.000Z;2024-12-10T18:13:00.000Z;2781;97441.2344664559;98270.1527701471;94321.25879199;96675.4335399369;104823780633.61;1913235117589.06;2024-12-10T23:59:59.999Z
2024-12-09T00:00:00.000Z;2024-12-09T23:59:59.999Z;2024-12-09T00:02:00.000Z;2024-12-09T21:06:00.000Z;2781;101237.0615213342;101272.5042134275;94355.9110419722;97432.7212603679;110676473908.41;1928513648652;2024-12-09T23:59:59.999Z
2024-12-08T00:00:00.000Z;2024-12-08T23:59:59.999Z;2024-12-08T23:57:00.000Z;2024-12-08T09:56:00.000Z;2781;99921.9167967171;101399.9887089246;98771.5141679393;101236.0131403532;44125751925.28;2003538950158.15;2024-12-08T23:59:59.999Z
2024-12-07T00:00:00.000Z;2024-12-07T23:59:59.999Z;2024-12-07T01:05:00.000Z;2024-12-07T05:46:00.000Z;2781;99916.7144638641;100563.3797510387;99030.8864921902;99923.3366192646;44177510896.8;1977521445640.32;2024-12-07T23:59:59.999Z
2024-12-06T00:00:00.000Z;2024-12-06T23:59:59.999Z;2024-12-06T20:43:00.000Z;2024-12-06T00:07:00.000Z;2781;97074.2248322286;102039.8817958907;96514.8760817966;99920.7147303285;94534772657.92;1977630964720.96;2024-12-06T23:59:59.999Z
2024-12-05T00:00:00.000Z;2024-12-05T23:59:59.999Z;2024-12-05T03:09:00.000Z;2024-12-05T22:29:00.000Z;2781;98741.5393815507;103900.4721472336;91998.781701436;96593.5722722098;149218945579.65;1911777565577.02;2024-12-05T23:59:59.999Z
2024-12-04T00:00:00.000Z;2024-12-04T23:59:59.999Z;2024-12-04T20:52:00.000Z;2024-12-04T16:53:00.000Z;2781;95988.5287123714;99207.3250728128;94660.5232511768;98768.5275553455;77199817111.98;1954156097012.25;2024-12-04T23:59:59.999Z
2024-12-03T00:00:00.000Z;2024-12-03T23:59:59.999Z;2024-12-03T02:42:00.000Z;2024-12-03T14:36:00.000Z;2781;95854.5974342939;96297.2000609749;93629.5598937809;96002.162144032;67067810961.23;1899532461067.09;2024-12-03T23:59:59.999Z
